,Title,Date
130,Larry Ellison won't get paid any more equity unless he gets Oracle's stock up to $80 (ORCL),9/6/17
131,"Amazon, Microsoft and Starbucks support lawsuit to block DACA repeal",9/6/17
132,"Tech Roundup: AMZN-MSFTAAPL-ACN Deals, WMT Chooses NVDA",9/6/17
133,"Nvidia, Intel, Broadcom To Ride Improving 'Cloud Capex,' Says RBC",9/6/17
134,'American Horror Story: Cult' available now in the Windows Store,9/6/17
135,Kohl's (KSS) Rallies on New 'Store-In-Store' Partnership with Amazon,9/6/17
136,Microsoft CEO Satya Nadella on writing 'Hit Refresh',9/6/17
137,Amazon and Microsoft are supporting a 15-state lawsuit to protect DACA,9/6/17
138,Today in Technology: The border that has an arch instead of a wall,9/6/17
139,Stock Indexes Edge Higher; Price-Target Hike No Help To Apple,9/6/17
140,"Coupa Jumps On Earnings As It Does Battle With Oracle, SAP",9/6/17
141,Revenue Recognition is Coming:  Following the Progress at MarketWatch,9/6/17
142,Washington Trust Bank Trims Position in Microsoft Corporation (MSFT),9/6/17
143,Microsoft's president says Congressional action on DACA is more important than US tax reform,9/6/17
144,"EY teams up with Maersk, Microsoft on blockchain-based marine insurance",9/6/17
145,Blockchain technology is moving into the shipping industry - with Microsoft and Maersk on board,9/6/17
146,Azure IoT Hub Device Provisioning Service is now in public preview,9/6/17
147,Growing your business in a blockchain world,9/6/17
148,Xbox Live Games With Gold for September 2017,9/6/17
149,Microsoft's Surface chief set to give keynote at London event     - CNET,9/6/17
150,"Microsoft to Update Windows 10 with ""Mixed Reality"" Features",9/6/17
151,Microsoft establishes Quantum Centre at University of Copenhagen,9/6/17
152,"Azure App Service now generally available on Linux, including Web App for Containers capability",9/6/17
153,Microsoft Corporation To Hold Surface Keynote Next Month In London,9/6/17
154,NintendoWestern Digital to Create Switch Memory Cards,9/6/17
155,Microsoft president urges Congress: put Dreamers before tax reform,9/6/17
156,Microsoft to Trump: You&#39;re going to have to go through us...,9/6/17
157,Ransomware 1H 2017 review: Global outbreaks reinforce the value of security hygiene,9/6/17
158,Microsoft Hints that a new Device will be Unveiled at their European Event in Late October,9/6/17
159,Microsoft Surface keynote expected on October 31,9/6/17
160,"Salesforce.com, Oracle Started At Buy; Microsoft, VMware Neutral",9/6/17
161,What story does your timeline tell? Introducing the Timeline Storyteller custom visual for Microsoft Power BI,9/6/17
162,How we secure your data in Azure AD,9/6/17
163,3-minute guide to getting started with 'Minecraft: Education Edition',9/6/17
164,Microsoft Corporation (MSFT) Rating Increased to Buy at ValuEngine,9/6/17
165,Chapman baseball and its youngest teammate make a big difference in each other's lives,9/6/17
166,Maersk and Microsoft Tested a Blockchain for Shipping Insurance,9/6/17
167,Blockchain technology is moving into the shipping industry --- with Microsoft and Maersk on board,9/6/17
168,"EY teams up with Maersk, Microsoft on blockchain-based marine insurance",9/5/17
169,"EY teams up with Maersk, Microsoft on blockchain-based marine insurance",9/5/17
170,"Trump's decision to scrap DACA will fall heavily on the hospitality, retail and construction industries",9/5/17
171,Democratizing technology for inclusive growth in Asia,9/5/17
172,Microsoft Pushes for 'Urgent' Action to Save DACA,9/5/17
173,Microsoft to Trump: You&apos;re going to have to go through us to deport Dreamers who work here,9/5/17
174,"Microsoft to Update Windows 10 with ""Mixed Reality"" Features",9/5/17
175,"Head back to Hogwarts this fall with the entire 'Harry Potter' collection, now in the Windows Store",9/5/17
176,"Tech Executives, Other CEOs Come Out Against Trump 'Dreamer' Move",9/5/17
177,"Microsoft extends Windows 10 S upgrade period, offers to pay Dreamer legal fees",9/5/17
178,Microsoft vows to defend DACA Dreamers in strong-worded response,9/5/17
179,New research reveals the power of the pen in learning,9/5/17
180,"Pro: Forget About The FAANG Stocks, Focus On Microsoft",9/5/17
181,Microsoft vows to protect its Dreamers in court,9/5/17
182,"Microsoft joins Initiative for CryptoCurrencies & Contracts, boosting blockchain enterprise readiness",9/5/17
183,"New Xbox Wireless gaming headsets from LucidSound, Turtle Beach and Razer coming this fall",9/5/17
184,Microsoft vows to protect its Dreamers in court,9/5/17
185,Surface Laptop colors now available in 20 countries,9/5/17
186,"At Microsoft Brazil, Rodney Williams helped make the beauty of diversity a reality",9/5/17
187,UBS: Technologies like blockchain are IBM's 'best hope for recovery',9/5/17
188,Microsoft says it will defend its 39 'dreamers' in court if the government tries to deport them,9/5/17
189,"Buy an Xbox One S bundle, choose a free bonus game",9/5/17
190,Windows 10 Tip: Head back to school with 5 tips for using Microsoft Word,9/5/17
191,Nordstrom adapts to changing workstyles with Office 365,9/5/17
192,Microsoft president urges Congress: put Dreamers before tax reform,9/5/17
193,Microsoft president urges Congress: put Dreamers before tax reform,9/5/17
194,Urgent DACA legislation is both an economic imperative and humanitarian necessity,9/5/17
195,Greystone Managed Investments Inc. Has $15.87 Million Holdings in Microsoft Corporation (MSFT),9/5/17
196,"IVW, AAPL, MSFT, FB: ETF Inflow Alert",9/5/17
197,"CEOs from Amazon, Microsoft and Starbucks sign letter supporting 'Dreamers' program",9/5/17
198,New Microsoft study: Parents have the greatest impact on young people's safety online,9/5/17
199,4 Tech Stocks to Ride on Autonomous Car Revolution,9/5/17
200,2 Stocks That Could Gain From Political Turmoil,9/5/17
201,"Huawei, Microsoft expand cloud app partnership",9/5/17
202,DLA Piper and Legal Calendar Software,9/5/17
203,A DIY approach to firm financials,9/5/17
204,Deutsche Bank hired a senior Tesco Clubcard exec to revamp its transactions unit,9/5/17
205,"Pressured to give up their careers, Pakistan's ""doctor-wives"" are using tech to find work again",9/5/17
206,OpenText - A Rare Undervalued Tech Stock,9/4/17
207,"Oil & Gas Project Management Software Market Report 2017, Status, Growth, Future Scope",9/4/17
208,Getting In Bed With Amazon Made Microsoft Stronger,9/4/17
209,"Microsoft Invents Deformable Sensors for use in future Surface Devices, HoloLens and even an annoying Smart Couch",9/4/17
210,A Microsoft Patent Shows that a Smartwatch with Smart Band Add-On Modules is at Least on their Drawing Board,9/4/17
211,ABB Enhances Smart Home Experience With Amazon and Sonos,9/4/17
212,Illinois Tool Works Leads Way In August With 20% Dividend Increase,9/3/17
213,Microsoft Corporation (MSFT) Lowered to Hold at Vetr Inc.,9/3/17
214,"Podcast: Smart Speakers, Windows Mixed Reality, Google ARCore, Wearables",9/3/17
215,Cadence Design Systems (CDNS) and Microsoft Corporation (MSFT) Head to Head Survey,9/2/17
216,"Credit Suisse Group Reiterates ""Outperform"" Rating for Microsoft Corporation (MSFT)",9/2/17
217,Investors Buy Microsoft Corporation (MSFT) on Weakness After Insider Selling,9/1/17
218,"Update to Sketchable app fully integrates Surface Dial, includes new stroke stabilization features",9/1/17
219,How Microsoft is transforming education to deliver sustainable development goals for students,9/1/17
220,Microsoft To Usher In 'Mixed Reality' Technology On Oct. 17,9/1/17
221,Off To The Races: Comparing Fitbit's New Ionic With Its Smartphone Competitors,9/1/17
222,Hewlett Packard Enterprise (HPE) Stock is Plummeting Over 20%: Here's Why,9/1/17
223,eWeek: 'Microsoft Surface PCs gain ground in the enterprise',9/1/17
224,"Play an accidental hero in 'Songbringer,' now in the Windows Store",9/1/17
225,Vladimir Putin believes artificial intelligence could lead to global monopolies and drone wars,9/1/17
226,"UPDATE 2-Microsoft pushes ""mixed reality"" features with Windows 10 update",9/1/17
227,"Microsoft pushes ""mixed reality"" features with Windows 10 update",9/1/17
228,"Tech Roundup: GOOGL Enterprise Push, AAPL Investment, WDC-Toshiba Deal",9/1/17
229,Windows 10 Fall Creators Update Will Arrive On Oct. 17: Microsoft,9/1/17
230,"Samsung and Microsoft announce QLED, Xbox One X partnership",9/1/17
231,Driverless Technology May Give Baidu $120B Annual Revenue By 2021,9/1/17
232,Microsoft Corporation (MSFT) Shares Sold by Goelzer Investment Management Inc.,9/1/17
233,Amazon Alexa Integrated With Bragi Dash Wireless Earbuds,9/1/17
234,"UPDATE 1-Microsoft pushes ""mixed reality"" features with Windows 10 update",9/1/17
235,Microsoft pushes 'mixed reality' features with Windows 10 update,9/1/17
236,Microsoft pushes 'mixed reality' features with Windows 10 update,9/1/17
237,"Microsoft Hits 52-Week High on Amazon Alliance, Robust Azure",9/1/17
238,Microsoft Windows update and first Mixed Reality headset releasing Oct. 17,9/1/17
239,Microsoft Takes Tough Stand On Expected Repeal of Dreamers Program,9/1/17
240,"Weekend Reading: New devices and Windows Mixed Reality headsets unveiled at IFA 2017, Cortana and Alexa collaborate and Skype TX wins an EmmyA(R)",9/1/17
241,Microsoft's CEO is once again standing up to Trump on immigration,9/1/17
242,Microsoft pushes AR/VR features with October Windows 10 update,9/1/17
243,Retirement Strategy: Can A Case Be Made To Buy Exxon Mobil?,9/1/17
244,Microsoft pushes AR/VR features with Oct. Windows 10 update,9/1/17
245,"Here comes Microsoft's next big Windows update, which will let you 'step inside' Windows",9/1/17
246,Create and play this holiday with the Windows 10 Fall Creators Update coming Oct. 17,9/1/17
247,"Amy Hood Sells 55,000 Shares of Microsoft Corporation (MSFT) Stock",9/1/17
248,Why It Is Important To Have Anti-Virus Software,9/1/17
249,Tech giants are urging Trump to protect undocumented immigrants,9/1/17
250,Tech-savvy agrifood sector 'unprepared for major disruption',9/1/17
251,Microsoft just made it easier for programmers to use archrival Amazon&apos;s cloud,9/1/17
252,IFA 2017: Lenovo announces Windows Mixed Reality headset and new 2-in-1 laptops,9/1/17
253,Microsoft critical of reported repeal of 'Dreamers' program     - CNET,8/31/17
254,"Top Stock Reports for Merck, CaterpillarIntel",8/31/17
255,"Microsoft Corporation (MSFT) Insider Jean Philippe Courtois Sells 26,763 Shares",8/31/17
256,IBM Cloud Featuring VMware Solutions Adopted by Syniverse,8/31/17
257,Silicon Valley is preparing to blast Trump if he ends protections for Dreamers,8/31/17
258,DREAMers make our country and communities stronger,8/31/17
259,"Apple, Accenture Partner to Penetrate Enterprise Community",8/31/17
260,Microsoft announces AWS integration tools,8/31/17
261,"In Battle For Digital Home, Google Looks 'Hopeless' Against Amazon",8/31/17
262,Microsoft just made it easier for programmers to use arch-rival Amazon's cloud,8/31/17
263,RSVP for a night of fashion and tech at the flagship Microsoft Store in New York City,8/31/17
264,Microsoft Corporation (MSFT) Stock Rating Reaffirmed by Credit Suisse Group,8/31/17
265,New to Office 365 in August: Co-authoring in Excel and more,8/31/17
266,"Microsoft Carves New High, Gains In Enterprise Cloud Software",8/31/17
267,"Nasdaq Up 0.8% As Microsoft, Alphabet Stocks Make Strides",8/31/17
268,IBM - Blockchain Boost From New International Bank Project?,8/31/17
269,"This Week on Windows: IFA 2017, Wonder Woman and more",8/31/17
270,Watch Marlon Wayans play 'Destiny 2' on 'Xbox Live Sessions',8/31/17
271,"2-day pass at Microsoft Ignite offers in-depth tour of big data analytics, machine learning and artificial intelligence",8/31/17
272,Microsoft brings Mixer Create out of Beta to take on Amazon's Twitch,8/31/17
273,3 Things to Expect From Intel Gemini Lake,8/31/17
274,Microsoft Corporation (MSFT) Shares Sold by Meridian Investment Counsel Inc.,8/31/17
275,Tech Stocks Are Still The 'Best Place To Be',8/31/17
276,Mixer Create app now out of beta and available for iOS and Android: Stream on mobile like never before,8/31/17
277,Cisco Systems: Slow-Motion Breakout?,8/31/17
278,"Stock Market News For August 31, 2017",8/31/17
279,"Amazon (AMZN), Microsoft (MSFT) AI Voice Assistants Bunch Up",8/31/17
280,"The Zacks Analyst Blog Highlights: Magic Software Enterprises, Extreme Networks, Entegris, Just Energy Group and TELUS",8/31/17
281,Few Surprises With This Tech ETF,8/31/17
282,SPONSORED: FundCoin is an ICO designed to tame the Wild West of cryptocurrency investing.,8/31/17
283,Microsoft and Amazon steal an AI march on Google and Apple,8/31/17
284,3 No-Brainer Stocks to Buy in Cloud Computing,8/31/17
285,Amazon&apos;s Alexa to work with Microsoft&apos;s Cortana,8/31/17
286,RBC: Nvidia is set to dominate the next wave of blockchain technology (NVDA),8/31/17
287,"Microsoft, Amazon collaborate to integrate Cortana, Alexa capabilities",8/31/17
288,Microsoft unveils first 'mixed reality' headset with Asus,8/31/17
289,Microsoft Corporation (MSFT) Stock Rating Lowered by Vetr Inc.,8/31/17
290,Tech We&quot;re Using: The Technology Our West Africa Bureau Chief Relies On,8/31/17
291,Amazon and Microsoft want their AI assistants to be friends. Here&quot;s what that really means.,8/30/17
292,Searching For Alphabet's True Worth? Just Google It?,8/30/17
293,IFA 2017: Dell debuts new gaming rigs and rugged tablet powered by Windows 10,8/30/17
294,"Cisco, Goldman Sachs Prop Up DJIA on Wednesday",8/30/17
295,Microsoft Corporation (MSFT) Stake Raised by HPM Partners LLC,8/30/17
296,Microsoft Corporation (MSFT) Shares Sold by Howard Capital Management,8/30/17
297,Microsoft&quot;s Single-Minded Focus,8/30/17
298,Amazon&quot;s Alexa and Microsoft&quot;s Cortana Can Soon Talk to Each Other,8/30/17
299,"Apple Hits Record High As It Ramps Up iPhone 8, HomePod Lines",8/30/17
300,"Learning Tools updates focus on new readers, plus students with dyslexia, dysgraphia and learning differences",8/30/17
301,Amazon&quot;s Alexa and Microsoft&quot;s Cortana are Collaborating in New Alliance,8/30/17
302,It&quot;s Been a Lackluster Month for the Nasdaq Composite,8/30/17
303,"Amazon Alexa, Microsoft Cortana Devices Will Soon Talk to Each Other",8/30/17
304,Microsoft and Amazon assistants set to talk to each other,8/30/17
305,"Alexa allies with Cortana to take on Google Assistant, Siri",8/30/17
306,Sauce Labs Announces SauceCon 2018; Opens Call for Speakers,8/30/17
307,"Amazon&quot;s Alexa and Microsoft&quot;s Cortana are friends now (The 3:59, Ep. 276)     - CNET",8/30/17
308,"Alexa allies with Cortana to take on Google Assistant, Siri",8/30/17
309,"UPDATE 1-Alexa allies with Cortana to take on Google Assistant, Siri",8/30/17
310,Find out where Xbox will be at PAX West 2017,8/30/17
311,Microsoft and Amazon made a zero-stakes deal to foist more virtual assistants on you,8/30/17
312,Amazon and Microsoft are rising after a personal assistant partnership,8/30/17
313,Microsoft breaks down the AI Wall with Cortana Communicating with Amazon&quot;s Alexa this fall and Siri next year,8/30/17
314,Skype TX honored with an EmmyA(R) Award for Technology & Engineering,8/30/17
315,"Amazon&quot;s Deal With Microsoft Puts Hammer On Alphabet, Apple",8/30/17
316,"Alexa, Cortana talk to each other in Amazon-Microsoft deal",8/30/17
317,Microsoft: Is A 50% Correction Of The Year 2000 Likely To Happen Again?,8/30/17
318,Amazon&apos;s Alexa to work with Microsoft&apos;s Cortana,8/30/17
319,"Alexa, Cortana talk to each other in Amazon-Microsoft deal",8/30/17
320,Oracle to Hire 5K Executives for Cloud Operations in 2017,8/30/17
321,"Latest OnePlus 5 Software Update Improves Camera, Fixes Bugs",8/30/17
322,Race to the finish line in the final week of the &quot;Forza Motorsport 7&quot; Garage,8/30/17
323,Get a 7-month Microsoft Groove Music subscription for $9.99     - CNET,8/30/17
324,5 Best Stocks From the Leading Odd Tech-Utility Duo in August,8/30/17
325,Amazon and Microsoft team up their A.I. voice assistants with new partnership deal,8/30/17
326,Amazon&quot;s Alexa to chat up Microsoft&quot;s Cortana,8/30/17
327,Budding romance: Amazon Alexa hooks up with Microsoft Cortana,8/30/17
328,Amazon&quot;s Alexa to chat up Microsoft&quot;s Cortana,8/30/17
329,Amazon&quot;s Alexa to chat up Microsoft&quot;s Cortana,8/30/17
330,"Stocks to Watch: Berkshire, BofA, Target, H&R Block, Brown-Forman, Vera Bradley",8/30/17
331,Amazon Alexa Can Now Turn Your Home Into A Surround Sound System,8/30/17
332,"The Zacks Analyst Blog Highlights: JohnsonJohnson, JPMorgan, Microsoft, Motorola, J.M. Smucker and Entergy",8/30/17
333,How to watch Microsoft&quot;s Sept. 1 keynote at IFA 2017,8/30/17
334,Working together to expand the fight against child labor in mining,8/30/17
335,Pact and Microsoft expand fight against child labor in Congo mining,8/30/17
336,"Hey Cortana, open Alexa: Microsoft and Amazon&quot;s first-of-its-kind collaboration",8/30/17
337,Pact and Microsoft expand fight against child labor in Congo mining,8/30/17
338,IFA 2017: ASUS announces Windows Mixed Reality headset and new laptops with Windows 10,8/30/17
339,"Amazon, Microsoft agree to make digital assistants Alexa, Cortana interoperable",8/30/17
340,"Acer announces new gaming desktops, all-in-ones and detachables with Windows 10 at IFA 2017",8/30/17
341,Broadway musical hit &quot;Once&quot; presented in Costa Mesa&quot;s intimate theater,8/30/17
342,Let SkyNet References Continue: Amazon&quot;s Alexa And Microsoft&quot;s Cortana Will Soon Be Able To Communicate,8/30/17
343,Amazon and Microsoft voice assistants will soon speak to each other,8/30/17
344,"Glu Mobile Inc. (GLUU) Lowered to ""Hold"" at Zacks Investment Research",8/30/17
345,Amazon and Microsoft team up their A.I. voice assistants with new partnership deal,8/30/17
346,Amazon and Microsoft to allow Alex and Cortana communicate later this year,8/30/17
347,"BRIEF-Microsoft to collaborate with Amazon ""to help Alexa and Cortana talk to each other""",8/30/17
348,"Alexa Meet Cortana, Cortana Meet Alexa",8/30/17
349,"Alexa Meet Cortana, Cortana Meet Alexa",8/30/17
350,When Microsoft saved Apple: Eliminating competition isn&apos;t the only way to win,8/30/17
351,"&quot;Cortana, Open Alexa,&quot; Amazon Says. And Microsoft Agrees.",8/30/17
352,"Radha Rajappa, Area Services Lead, Microsoft IndiaA has been confirmed as a keynote speaker at Connected Car Pune",8/30/17
353,Apple&quot;s Platform Advantages In Augmented Reality,8/30/17
354,Buy Microsoft For Its Cloud Business,8/30/17
355,Our immediate response to Hurricane Harvey,8/30/17
356,"Top Research Reports for Johnson & Johnson, JPMorgan & Microsoft",8/30/17
357,"Top Research Reports for JohnsonJohnson, JPMorganMicrosoft",8/29/17
358,Best Buy Has Survived And Thrived In The E-Commerce Revolution,8/29/17
359,"&quot;Wonder Woman&quot; now available in the Windows Store, 3 weeks before it&quot;s on Blu-ray",8/29/17
360,Credit Suisse Is &quot;Most Positive&quot; On Micron Following Semiconductor Conference,8/29/17
361,Is There A Cure For Microsoft&quot;s Biggest Headache?,8/29/17
362,Azure Blob storage events preview announced,8/29/17
363,"Buy 1 month of Groove Music, get 6 months free with Labor Day Deal",8/29/17
364,Now in preview: Azure Active Directory Domain Services support for virtual networks,8/29/17
365,Microsoft&quot;s Project Brainwave Might Be Better Than Google&quot;s Cloud TPU,8/29/17
